mes,ano,id_autor_parlametria,direitos-humanos,licenciamento-ambiental,migracao-e-refugio,pandemia,reforma-administrativa,reforma-tributaria,socioambiental,transparencia-e-integridade
1,2019,1178863,0,0,0,0,0,0,0,0
1,2019,1178866,0,0,0,0,0,0,0,0
1,2019,1178868,0,0,0,0,0,0,0,0
1,2019,1178871,0,0,0,0,0,0,0,0
1,2019,1178873,0,0,0,0,0,0,0,0
1,2019,1178874,0,0,0,0,0,0,0,0
1,2019,1178876,0,0,0,0,0,0,0,0
1,2019,1178879,0,0,0,0,0,0,0,0
1,2019,1178881,0,0,0,0,0,0,0,0
1,2019,1178882,0,0,0,0,0,0,0,0
1,2019,1178884,0,0,0,0,0,0,0,0
1,2019,1178886,0,0,0,0,0,0,0,0
1,2019,1178887,0,0,0,0,0,0,0,0
1,2019,1178889,0,0,0,0,0,0,0,0
1,2019,1178895,0,0,0,0,0,0,0,0
1,2019,1178896,0,0,0,0,0,0,0,0
1,2019,1178901,0,0,0,0,0,0,0,0
1,2019,1178908,0,0,0,0,0,0,0,0
1,2019,1178909,0,0,0,0,0,0,0,0
1,2019,1178910,0,0,0,0,0,0,0,0
1,2019,1178912,0,0,0,0,0,0,0,0
1,2019,1178916,0,0,0,0,0,0,0,0
1,2019,1178920,0,0,0,0,0,0,0,0
1,2019,1178921,0,0,0,0,0,0,0,0
1,2019,1178922,0,0,0,0,0,0,0,0
1,2019,1178924,0,0,0,0,0,0,0,0
1,2019,1178925,0,0,0,0,0,0,0,0
1,2019,1178927,0,0,0,0,0,0,0,0
1,2019,1178929,0,0,0,0,0,0,0,0
1,2019,1178930,0,0,0,0,0,0,0,0
1,2019,1178931,0,0,0,0,0,0,0,0
1,2019,1178933,0,0,0,0,0,0,0,0
1,2019,1178934,0,0,0,0,0,0,0,0
1,2019,1178937,0,0,0,0,0,0,0,0
1,2019,1178939,0,0,0,0,0,0,0,0
1,2019,1178945,0,0,0,0,0,0,0,0
1,2019,1178946,0,0,0,0,0,0,0,0
1,2019,1178947,0,0,0,0,0,0,0,0
1,2019,1178948,0,0,0,0,0,0,0,0
1,2019,1178951,0,0,0,0,0,0,0,0
1,2019,1178952,0,0,0,0,0,0,0,0
