id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,mes,ano,votos_validos,num_seguiu,disciplina,bancada_suficiente
470,2470,DEM,DEM,senado,6,2021,11,10,0.9090909090909091,TRUE
470,2470,DEM,DEM,senado,7,2020,4,4,NA,TRUE
470,2470,DEM,DEM,senado,7,2021,0,0,NA,TRUE
470,2470,DEM,DEM,senado,8,2019,0,0,NA,TRUE
470,2470,DEM,DEM,senado,8,2020,4,1,NA,TRUE
470,2470,DEM,DEM,senado,8,2021,3,3,NA,TRUE
470,2470,DEM,DEM,senado,9,2019,1,1,NA,TRUE
470,2470,DEM,DEM,senado,9,2020,6,6,NA,TRUE
470,2470,DEM,DEM,senado,10,2019,8,8,NA,TRUE
470,2470,DEM,DEM,senado,11,2019,3,3,NA,TRUE
470,2470,DEM,DEM,senado,12,2019,1,1,NA,TRUE
475,2475,MDB,MDB,senado,2,2021,1,1,NA,TRUE
475,2475,MDB,MDB,senado,3,2021,11,10,0.9090909090909091,TRUE
475,2475,MDB,MDB,senado,4,2019,2,2,NA,TRUE
475,2475,MDB,MDB,senado,4,2020,7,6,NA,TRUE
475,2475,MDB,MDB,senado,4,2021,3,2,NA,TRUE
475,2475,MDB,MDB,senado,5,2020,5,5,NA,TRUE
475,2475,MDB,MDB,senado,5,2021,4,3,NA,TRUE
475,2475,MDB,MDB,senado,6,2019,4,4,NA,TRUE
475,2475,MDB,MDB,senado,6,2020,10,10,1,TRUE
475,2475,MDB,MDB,senado,6,2021,13,10,0.7692307692307693,TRUE
475,2475,MDB,MDB,senado,7,2020,4,4,NA,TRUE
475,2475,MDB,MDB,senado,7,2021,2,2,NA,TRUE
475,2475,MDB,MDB,senado,8,2019,1,1,NA,TRUE
475,2475,MDB,MDB,senado,8,2020,4,3,NA,TRUE
475,2475,MDB,MDB,senado,8,2021,3,3,NA,TRUE
475,2475,MDB,MDB,senado,9,2019,1,0,NA,TRUE
475,2475,MDB,MDB,senado,9,2020,6,6,NA,TRUE
475,2475,MDB,MDB,senado,10,2019,8,8,NA,TRUE
475,2475,MDB,MDB,senado,11,2019,1,1,NA,TRUE
475,2475,MDB,MDB,senado,11,2020,5,5,NA,TRUE
475,2475,MDB,MDB,senado,12,2019,0,0,NA,TRUE
475,2475,MDB,MDB,senado,12,2020,1,1,NA,TRUE
581,2581,PT,PT,senado,2,2021,1,1,NA,TRUE
581,2581,PT,PT,senado,3,2021,12,12,1,TRUE
581,2581,PT,PT,senado,4,2019,1,1,NA,TRUE
581,2581,PT,PT,senado,4,2020,7,7,NA,TRUE
581,2581,PT,PT,senado,4,2021,3,2,NA,TRUE
581,2581,PT,PT,senado,5,2020,5,5,NA,TRUE
581,2581,PT,PT,senado,5,2021,5,4,NA,TRUE
581,2581,PT,PT,senado,6,2019,3,3,NA,TRUE
581,2581,PT,PT,senado,6,2020,12,12,1,TRUE
581,2581,PT,PT,senado,6,2021,12,12,1,TRUE
581,2581,PT,PT,senado,7,2020,4,4,NA,TRUE
581,2581,PT,PT,senado,7,2021,2,2,NA,TRUE
581,2581,PT,PT,senado,8,2019,1,1,NA,TRUE
581,2581,PT,PT,senado,8,2020,4,4,NA,TRUE
581,2581,PT,PT,senado,8,2021,3,3,NA,TRUE
581,2581,PT,PT,senado,9,2019,1,1,NA,TRUE
581,2581,PT,PT,senado,9,2020,6,6,NA,TRUE
581,2581,PT,PT,senado,10,2019,8,8,NA,TRUE
581,2581,PT,PT,senado,11,2019,2,2,NA,TRUE
581,2581,PT,PT,senado,11,2020,5,5,NA,TRUE
581,2581,PT,PT,senado,12,2019,1,1,NA,TRUE
581,2581,PT,PT,senado,12,2020,2,1,NA,TRUE
677,2677,PSDB,PSDB,senado,2,2021,1,1,NA,TRUE
677,2677,PSDB,PSDB,senado,3,2021,11,8,0.7272727272727273,TRUE
677,2677,PSDB,PSDB,senado,4,2019,1,1,NA,TRUE
677,2677,PSDB,PSDB,senado,4,2020,6,6,NA,TRUE
677,2677,PSDB,PSDB,senado,4,2021,2,1,NA,TRUE
677,2677,PSDB,PSDB,senado,5,2020,1,1,NA,TRUE
677,2677,PSDB,PSDB,senado,5,2021,4,4,NA,TRUE
677,2677,PSDB,PSDB,senado,6,2019,3,2,NA,TRUE
677,2677,PSDB,PSDB,senado,6,2020,11,7,0.6363636363636364,TRUE
677,2677,PSDB,PSDB,senado,6,2021,8,4,NA,TRUE
677,2677,PSDB,PSDB,senado,7,2020,4,4,NA,TRUE
677,2677,PSDB,PSDB,senado,7,2021,2,2,NA,TRUE
677,2677,PSDB,PSDB,senado,8,2019,1,1,NA,TRUE
677,2677,PSDB,PSDB,senado,8,2020,4,2,NA,TRUE
677,2677,PSDB,PSDB,senado,8,2021,3,1,NA,TRUE
677,2677,PSDB,PSDB,senado,9,2019,0,0,NA,TRUE
677,2677,PSDB,PSDB,senado,9,2020,4,3,NA,TRUE
677,2677,PSDB,PSDB,senado,10,2019,8,8,NA,TRUE
677,2677,PSDB,PSDB,senado,11,2019,4,4,NA,TRUE
677,2677,PSDB,PSDB,senado,11,2020,4,4,NA,TRUE
677,2677,PSDB,PSDB,senado,12,2019,1,1,NA,TRUE
677,2677,PSDB,PSDB,senado,12,2020,2,2,NA,TRUE
739,2739,PP,PP,senado,2,2021,1,1,NA,TRUE
739,2739,PP,PP,senado,3,2021,11,11,1,TRUE
739,2739,PP,PP,senado,4,2019,1,1,NA,TRUE
739,2739,PP,PP,senado,4,2020,7,7,NA,TRUE
739,2739,PP,PP,senado,4,2021,3,3,NA,TRUE
739,2739,PP,PP,senado,5,2020,4,4,NA,TRUE
739,2739,PP,PP,senado,5,2021,3,3,NA,TRUE
739,2739,PP,PP,senado,6,2019,3,3,NA,TRUE
739,2739,PP,PP,senado,6,2020,11,9,0.8181818181818182,TRUE
739,2739,PP,PP,senado,6,2021,12,12,1,TRUE
739,2739,PP,PP,senado,7,2020,4,4,NA,TRUE
739,2739,PP,PP,senado,7,2021,2,2,NA,TRUE
739,2739,PP,PP,senado,8,2019,1,1,NA,TRUE
739,2739,PP,PP,senado,8,2020,3,2,NA,TRUE
739,2739,PP,PP,senado,9,2019,0,0,NA,TRUE
739,2739,PP,PP,senado,9,2020,6,6,NA,TRUE
739,2739,PP,PP,senado,10,2019,8,8,NA,TRUE
739,2739,PP,PP,senado,11,2019,4,4,NA,TRUE
739,2739,PP,PP,senado,11,2020,4,4,NA,TRUE
