id_proposicao_leggo,num_tweets,interactions,created_at,username,interesse,sigla_camara,sigla_senado
1861fc92e38e56038410758af021a739,1,164,2021-06-08,davidmirandario,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,89,2021-06-08,enioverri,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,4,26,2021-06-08,faleiroairton,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,83,2021-06-08,fernandapsol,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,35,2021-06-08,franca_rodrigo,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,20,2021-06-08,gervasiomaia,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,81,2021-06-08,greenpeacebr,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,162,2021-06-08,ivanvalente,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,7,362,2021-06-08,j_livres,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,6,1239,2021-06-08,joeniawapichana,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,283,2021-06-08,mariadorosario,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,16,8191,2021-06-08,midianinja,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,130,2021-06-08,mst_oficial,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,39,2021-06-08,niltotatto,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,159,2021-06-08,psol50,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,459,2021-06-08,tabataamaralsp,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,4,596,2021-06-08,taliriapetrone,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,141,2021-06-08,tuliogadelha,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,48,2021-06-08,viomundo,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,80,2021-06-09,cartamaior,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,248,2021-06-09,elizianegama,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,443,2021-06-09,gleisi,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,5,806,2021-06-09,midianinja,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,39,2021-06-09,niltotatto,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,4,34,2021-06-10,camilopsb,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,43,2021-06-10,greenpeacebr,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,214,2021-06-10,joeniawapichana,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,341,2021-06-10,leandraleal,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,36,2021-06-10,viomundo,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,109,2021-06-11,midianinja,socioambiental,PL 490/2007,NA
1ab02e83a22f3dd9adcf2c2990e54580,1,13,2019-04-02,elcionepmdb,socioambiental,PL 940/2019,NA
1ab02e83a22f3dd9adcf2c2990e54580,1,9,2019-09-01,camila_abdo,socioambiental,PL 940/2019,NA
1ab02e83a22f3dd9adcf2c2990e54580,1,296,2021-06-17,j_livres,socioambiental,PL 940/2019,NA
1ab8034309a7a59d5f28e7cfb484fdd5,1,9,2020-10-06,tvsenado,socioambiental,PL 4462/2019,NA
1ae708c5fbb1605c0282b043b45ccbec,1,48,2020-02-06,camaradeputados,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,8,2020-02-06,faleiroairton,socioambiental,PL 191/2020,NA
