id_leggo,interesse,periodo,temperatura_recente
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-04-19,0
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-07-12,0.02
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-07-05,0.02
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-06-28,0.03
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-06-21,0.04
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-06-14,0.05
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-06-07,0.07
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-05-31,0.09
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-05-24,0.13
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-05-17,0.17
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-05-10,0.22
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-05-03,0.3
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-04-26,0.4
6d4bd96c8a8dffe066718503d82ec4a0,socioambiental,2021-04-19,0.53
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-07-12,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-07-05,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-06-28,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-06-21,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-06-14,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-06-07,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-05-31,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-05-24,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-05-17,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-05-10,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-05-03,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-04-26,0
1f3a446d8fa39ce55332e3c572f18ac1,socioambiental,2021-04-19,0
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-07-12,1.9
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-07-05,2.53
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-06-28,3.37
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-06-21,4.5
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-06-14,4.66
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-06-07,3.55
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-05-31,1.07
