id_votacao,orientacao,tipo_lideranca,partido_bloco,casa
2160860-93,1,B,GOV.,camara
2160860-93,2,P,PSOL,camara
2160860-93,1,P,PV,camara
2160860-93,1,B,PtbPros,camara
2160860-93,2,P,PDT,camara
2160860-93,1,P,PSC,camara
2160860-93,2,P,PRB,camara
2160860-93,2,P,PCdoB,camara
2160860-93,2,P,PSB,camara
2160860-93,1,P,PPS,camara
2160860-93,2,B,Oposição,camara
2160860-93,1,P,Solidaried,camara
2160860-93,1,P,DEM,camara
2160860-93,1,B,PpPodeAvantePen,camara
2160860-93,1,P,PMDB,camara
2160860-93,2,P,REDE,camara
2160860-93,1,P,PSDB,camara
2160860-93,2,B,Minoria,camara
2160860-93,2,P,PT,camara
2160860-84,-1,P,PSC,camara
2160860-84,-1,P,PSDB,camara
2160860-84,-1,P,PPL,camara
2160860-84,-1,P,PR,camara
2160860-84,2,P,PRB,camara
2160860-84,2,B,Oposição,camara
2160860-84,2,P,PCdoB,camara
2160860-84,2,P,REDE,camara
2160860-84,2,P,PSOL,camara
2160860-84,-1,B,Maioria,camara
2160860-84,-1,P,PSL,camara
2160860-84,2,B,Minoria,camara
2160860-84,-1,B,PpPodeAvantePen,camara
2160860-84,-1,P,PMDB,camara
2160860-84,-1,P,DEM,camara
2160860-84,2,P,PT,camara
2160860-84,-1,P,PV,camara
2160860-84,2,P,PDT,camara
2160860-84,-1,P,PSD,camara
2160860-84,-1,P,Solidaried,camara
2160860-84,-1,P,PPS,camara
2160860-84,-1,B,GOV.,camara
2160860-84,2,P,PSB,camara
2160860-84,-1,B,PtbPros,camara
2160860-65,2,P,PRB,camara
2160860-65,2,B,Oposição,camara
2160860-65,1,B,PtbPros,camara
2160860-65,2,B,Minoria,camara
2160860-65,2,P,PDT,camara
2160860-65,1,P,PSC,camara
2160860-65,2,P,PT,camara
2160860-65,1,P,PPS,camara
2160860-65,1,P,PR,camara
2160860-65,2,P,PSB,camara
2160860-65,1,P,PSDB,camara
2160860-65,2,P,PSOL,camara
2160860-65,1,B,Maioria,camara
2160860-65,1,P,DEM,camara
2160860-65,1,B,PpPodeAvantePen,camara
2160860-65,2,P,REDE,camara
2160860-65,1,P,PHS,camara
2160860-65,1,P,PSL,camara
2160860-65,1,P,Solidaried,camara
2160860-65,2,P,PCdoB,camara
2160860-65,1,P,PSD,camara
2160860-65,1,P,PMDB,camara
2160860-65,1,B,GOV.,camara
2160860-65,1,P,PV,camara
2160860-58,-1,B,Maioria,camara
2160860-58,-1,P,PSC,camara
2160860-58,2,P,PSOL,camara
2160860-58,-1,B,PpPodeAvantePen,camara
2160860-58,-1,P,PSD,camara
2160860-58,-1,P,PSDB,camara
2160860-58,2,P,PDT,camara
2160860-58,2,P,PT,camara
2160860-58,-1,P,PSL,camara
2160860-58,-1,P,PPS,camara
2160860-58,-1,B,GOV.,camara
2160860-58,2,P,PCdoB,camara
2160860-58,-1,P,PV,camara
2160860-58,-1,P,PMDB,camara
2160860-58,-1,P,Solidaried,camara
2160860-58,2,P,REDE,camara
2160860-58,-1,P,DEM,camara
2160860-58,-1,B,PtbPros,camara
2160860-58,2,P,PRB,camara
2160860-58,-1,P,PR,camara
2160860-58,2,P,PSB,camara
2160860-55,2,B,Minoria,camara
2160860-55,2,P,PSOL,camara
2160860-55,2,P,REDE,camara
2160860-55,-1,P,PSD,camara
2160860-55,-1,P,PR,camara
2160860-55,2,P,PT,camara
2160860-55,-1,P,PMDB,camara
2160860-55,1,P,PRB,camara
2160860-55,-1,P,PSC,camara
2160860-55,-1,P,PPS,camara
2160860-55,-1,B,GOV.,camara
2160860-55,-1,P,PV,camara
2160860-55,2,B,Oposição,camara
2160860-55,-1,P,PSDB,camara
2160860-55,-1,P,DEM,camara
2160860-55,2,P,PSB,camara
2160860-55,1,B,PtbPros,camara
2160860-55,2,P,PDT,camara
2160860-55,-1,P,Solidaried,camara
2160860-55,2,P,PCdoB,camara
2160860-55,-1,B,PpPodeAvantePen,camara
2160860-52,2,B,Oposição,camara
2160860-52,-1,B,PpPodeAvantePen,camara
2160860-52,2,P,PDT,camara
2160860-52,-1,P,PSL,camara
2160860-52,2,P,PT,camara
2160860-52,-1,P,Solidaried,camara
2160860-52,-1,P,PSC,camara
2160860-52,2,P,PSB,camara
2160860-52,-1,P,DEM,camara
2160860-52,-1,P,PSDB,camara
2160860-52,-1,B,PtbPros,camara
2160860-52,2,P,PSOL,camara
2160860-52,-1,P,PR,camara
2160860-52,-1,P,PV,camara
2160860-52,-1,P,PSD,camara
2160860-52,2,B,Minoria,camara
2160860-52,-1,P,PRB,camara
2160860-52,-1,B,GOV.,camara
2160860-52,1,P,REDE,camara
2160860-52,-1,P,PMDB,camara
2160860-52,2,P,PCdoB,camara
2160860-52,-1,B,Maioria,camara
2160860-52,-1,P,PPS,camara
2170483-6,1,P,Solidaried,camara
2170483-6,1,P,PSD,camara
2170483-6,2,P,PSOL,camara
2170483-6,1,P,DEM,camara
2170483-6,1,P,PMDB,camara
2170483-6,1,P,PRB,camara
2170483-6,2,P,REDE,camara
2170483-6,1,B,Oposição,camara
2170483-6,1,P,PHS,camara
2170483-6,2,P,PCdoB,camara
2170483-6,1,P,PSDB,camara
2170483-6,1,P,PV,camara
2170483-6,2,P,PDT,camara
2170483-6,2,P,PT,camara
2170483-6,1,B,PtbProsPslPrp,camara
2170483-6,1,B,PpPodeAvantePen,camara
2170483-6,1,P,PSB,camara
2170483-6,5,B,Minoria,camara
2170483-6,1,P,PPS,camara
2170483-6,1,P,PR,camara
16526-596,1,P,PSD,camara
16526-596,1,P,PROS,camara
16526-596,1,B,PpMdbPtb,camara
16526-596,1,P,PSC,camara
16526-596,1,P,CIDADANIA,camara
16526-596,1,P,NOVO,camara
16526-596,1,P,Republican,camara
16526-596,-1,P,PDT,camara
16526-596,1,B,GOV.,camara
16526-596,1,P,PSDB,camara
16526-596,-1,P,REDE,camara
16526-596,1,P,PSL,camara
16526-596,-1,P,PT,camara
16526-596,-1,P,PCdoB,camara
16526-596,-1,B,Oposição,camara
16526-596,1,P,PL,camara
16526-596,-1,P,PSOL,camara
16526-596,1,P,DEM,camara
16526-596,-1,P,PSB,camara
16526-596,1,P,Solidaried,camara
16526-596,1,B,Maioria,camara
16526-582,-1,P,PSD,camara
16526-582,1,P,PDT,camara
16526-582,1,P,PSDB,camara
16526-582,1,B,Minoria,camara
16526-582,1,P,PCdoB,camara
16526-582,-1,P,Solidaried,camara
16526-582,1,B,GOV.,camara
16526-582,1,P,Republican,camara
16526-582,-1,B,PpMdbPtb,camara
16526-582,1,P,PSB,camara
16526-582,1,P,PSL,camara
16526-582,-1,B,Maioria,camara
16526-582,-1,P,PROS,camara
16526-582,-1,P,PSC,camara
16526-582,1,P,PV,camara
16526-582,1,P,NOVO,camara
16526-582,1,P,PT,camara
16526-582,1,B,Oposição,camara
16526-582,1,P,PSOL,camara
16526-582,1,P,CIDADANIA,camara
16526-582,-1,P,DEM,camara
16526-582,-1,P,PL,camara
16526-580,-1,P,PSB,camara
16526-580,-1,P,PSC,camara
16526-580,1,P,DEM,camara
16526-580,1,P,PSD,camara
16526-580,-1,P,PV,camara
16526-580,-1,P,NOVO,camara
16526-580,1,P,PL,camara
16526-580,-1,P,PDT,camara
16526-580,1,P,PSDB,camara
16526-580,-1,P,Solidaried,camara
16526-580,-1,P,PCdoB,camara
16526-580,-1,P,CIDADANIA,camara
16526-580,-1,P,Republican,camara
16526-580,1,B,PpMdbPtb,camara
16526-580,-1,P,PSL,camara
16526-580,-1,P,PT,camara
16526-580,-1,P,PSOL,camara
16526-572,-1,B,PpMdbPtb,camara
16526-572,-1,P,Republican,camara
16526-572,1,B,Oposição,camara
16526-572,1,P,PCdoB,camara
16526-572,1,P,PSOL,camara
16526-572,-1,P,PSD,camara
16526-572,-1,B,Maioria,camara
16526-572,-1,P,PSL,camara
16526-572,-1,P,PL,camara
16526-572,1,P,NOVO,camara
16526-572,-1,P,DEM,camara
16526-572,1,B,Minoria,camara
16526-572,1,P,PSB,camara
16526-572,1,P,PDT,camara
16526-572,1,P,PT,camara
16526-572,-1,P,PV,camara
16526-572,5,P,Podemos,camara
16526-572,1,P,CIDADANIA,camara
16526-572,-1,B,GOV.,camara
16526-572,-1,P,Solidaried,camara
16526-572,1,P,PSC,camara
16526-572,-1,P,PSDB,camara
16526-556,1,P,PROS,camara
16526-556,-1,P,PSL,camara
16526-556,1,P,PCdoB,camara
16526-556,1,P,PSB,camara
16526-556,1,B,Maioria,camara
16526-556,1,P,PT,camara
16526-556,1,P,PSD,camara
16526-556,1,P,PV,camara
16526-556,1,P,Solidaried,camara
16526-556,1,P,CIDADANIA,camara
16526-556,1,P,Republican,camara
16526-556,1,P,PSDB,camara
16526-556,1,P,PSOL,camara
16526-556,1,P,PDT,camara
16526-556,-1,P,NOVO,camara
16526-556,-1,P,PSC,camara
16526-556,1,B,Minoria,camara
16526-556,1,B,PpMdbPtb,camara
16526-556,1,P,DEM,camara
16526-556,1,P,PL,camara
16526-556,-1,B,GOV.,camara
16526-506,2,B,Minoria,camara
16526-506,2,P,PSB,camara
16526-506,-1,P,PSC,camara
16526-506,-1,P,PSL,camara
16526-506,-1,P,PSDB,camara
16526-506,-1,B,GOV.,camara
16526-506,2,P,REDE,camara
16526-506,2,P,PL,camara
16526-506,-1,P,PSD,camara
16526-506,-1,P,Solidaried,camara
16526-506,-1,P,CIDADANIA,camara
16526-506,-1,P,PROS,camara
16526-506,2,P,PDT,camara
16526-506,-1,P,Patriota,camara
16526-506,2,B,PpMdbPtb,camara
16526-506,-1,P,DEM,camara
16526-506,-1,P,Avante,camara
16526-506,2,P,PT,camara
16526-506,2,P,PSOL,camara
16526-506,-1,P,NOVO,camara
16526-506,-1,P,PV,camara
16526-506,-1,P,PRB,camara
16526-506,2,P,PCdoB,camara
28692-138,1,P,Patriota,camara
28692-138,-1,P,PT,camara
28692-138,5,B,PdtSdPode...,camara
28692-138,1,B,GOV.,camara
28692-138,1,P,NOVO,camara
28692-138,-1,P,PSB,camara
28692-138,-1,P,PSOL,camara
28692-138,1,P,PPS,camara
28692-138,-1,B,Minoria,camara
28692-138,1,B,PslPpPsd...,camara
28692-121,-1,B,Oposição,camara
28692-121,5,B,PslPpPsd...,camara
28692-121,-1,P,PSB,camara
28692-121,-1,P,PSOL,camara
28692-121,5,B,GOV.,camara
28692-121,-1,B,Minoria,camara
28692-121,-1,P,PT,camara
28692-121,1,P,NOVO,camara
28692-121,-1,B,PdtSdPode...,camara
28692-121,1,P,PPS,camara
1672576-193,1,P,PPS,camara
1672576-193,1,B,PslPpPsd...,camara
1672576-193,-1,P,PSB,camara
1672576-193,1,P,PRB,camara
1672576-193,1,P,NOVO,camara
1672576-193,-1,B,Oposição,camara
1672576-193,1,B,GOV.,camara
1672576-193,-1,P,PSOL,camara
1672576-193,-1,P,PT,camara
1672576-193,-1,P,PCdoB,camara
1672576-193,5,B,PdtPodePros...,camara
1672576-193,-1,B,Minoria,camara
1672576-193,1,P,Solidaried,camara
1672576-193,1,P,PSDB,camara
1672576-193,1,P,Patriota,camara
1672576-177,-1,P,NOVO,camara
1672576-177,-1,B,PslPpPsd...,camara
1672576-177,-1,P,PPS,camara
1672576-177,-1,P,PT,camara
1672576-177,-1,P,PRB,camara
1672576-177,-1,P,Patriota,camara
1672576-177,-1,P,Solidaried,camara
1672576-177,-1,B,PdtPodePros...,camara
1672576-177,-1,P,PSOL,camara
1672576-177,-1,P,PSB,camara
1672576-177,-1,P,PCdoB,camara
1672576-171,5,B,PslPpPsd...,camara
1672576-171,5,B,PdtPodePros...,camara
1672576-171,-1,P,NOVO,camara
1672576-171,1,P,PSOL,camara
1672576-171,1,P,PT,camara
1672576-171,-1,P,PPS,camara
1672576-171,1,P,PCdoB,camara
1672576-171,-1,P,Solidaried,camara
1672576-171,-1,P,PRB,camara
1672576-153,-1,P,PRB,camara
1672576-153,1,P,PCdoB,camara
1672576-153,-1,P,Patriota,camara
1672576-153,-1,B,PslPpPsd...,camara
1672576-153,1,P,PSB,camara
1672576-153,2,P,PSOL,camara
1672576-153,2,P,PT,camara
1672576-153,-1,B,GOV.,camara
1672576-153,1,B,PdtSdPode...,camara
1672576-153,-1,P,NOVO,camara
1672576-153,-1,P,PPS,camara
1672576-150,1,P,PSOL,camara
1672576-150,-1,P,NOVO,camara
1672576-150,-1,P,PRB,camara
1672576-150,5,P,Patriota,camara
1672576-150,-1,P,PPS,camara
1672576-150,1,P,PCdoB,camara
1672576-150,-1,B,GOV.,camara
1672576-150,1,P,PT,camara
1672576-150,1,B,PdtSdPode...,camara
1672576-150,1,P,PSB,camara
1672576-150,-1,B,PslPpPsd...,camara
1672576-147,1,B,Minoria,camara
1672576-147,-1,P,PPS,camara
1672576-147,-1,B,PdtSdPode...,camara
1672576-147,-1,B,GOV.,camara
1672576-147,1,P,PCdoB,camara
1672576-147,-1,P,PSB,camara
1672576-147,-1,P,Patriota,camara
1672576-147,2,P,PT,camara
1672576-147,-1,P,PRB,camara
1672576-147,-1,B,PslPpPsd...,camara
1672576-147,-1,P,NOVO,camara
1672576-147,2,P,PSOL,camara
1672576-141,1,B,Minoria,camara
1672576-141,1,P,PSB,camara
1672576-141,2,P,PSOL,camara
1672576-141,-1,P,PPS,camara
1672576-141,-1,P,PRB,camara
1672576-141,1,B,PdtSdPode...,camara
1672576-141,1,B,Oposição,camara
1672576-141,-1,P,NOVO,camara
1672576-141,5,B,PslPpPsd...,camara
1672576-141,1,P,PT,camara
1672576-141,5,B,GOV.,camara
1672576-136,1,P,PPS,camara
1672576-136,1,B,PslPpPsd...,camara
1672576-136,1,P,NOVO,camara
1672576-136,2,P,PT,camara
1672576-136,5,B,PdtSdPode...,camara
1672576-136,1,B,GOV.,camara
1672576-136,-1,B,Oposição,camara
1672576-136,5,P,PSB,camara
1672576-136,2,P,PSOL,camara
1672576-136,1,P,PRB,camara
1672576-136,5,B,Minoria,camara
1672576-136,1,P,Patriota,camara
1672576-133,-1,P,PRB,camara
1672576-133,-1,P,PPS,camara
